[2026-08-04 10:47:38] === starting DEFORM training: DLO_type=d003_v054 train_time_horizon=20 eval_time_horizon=100 max_update_steps=200 ===
[2026-08-04 10:47:38] GPU: NVIDIA GeForce RTX 2060 (cuda:0)
[2026-08-04 10:47:38] logging to logs/train_d003_v054.log
[2026-08-04 10:47:39] [data] precomputing mu_0 (bishop frames) for 56 train episodes, 8069056 frames total, on CPU
[2026-08-04 10:49:33] [data] [░░░░░░░░░░░░░░░░░░░░]   2.5% frames 202000/8069056 ep 11/56  1762 frames/s  ETA 4465s
[2026-08-04 10:49:35] [data] [░░░░░░░░░░░░░░░░░░░░]   2.5% frames 204000/8069056 ep 11/56  1761 frames/s  ETA 4466s
[2026-08-04 10:49:36] [data] [░░░░░░░░░░░░░░░░░░░░]   2.6% frames 206000/8069056 ep 11/56  1759 frames/s  ETA 4471s
[2026-08-04 10:49:37] [data] [░░░░░░░░░░░░░░░░░░░░]   2.6% frames 208000/8069056 ep 11/56  1760 frames/s  ETA 4466s
[2026-08-04 10:49:38] [data] [░░░░░░░░░░░░░░░░░░░░]   2.6% frames 210000/8069056 ep 11/56  1761 frames/s  ETA 4462s
[2026-08-04 10:49:39] [data] [░░░░░░░░░░░░░░░░░░░░]   2.6% frames 212000/8069056 ep 11/56  1762 frames/s  ETA 4458s
[2026-08-04 10:49:40] [data] [░░░░░░░░░░░░░░░░░░░░]   2.7% frames 214000/8069056 ep 11/56  1764 frames/s  ETA 4454s
[2026-08-04 10:49:41] [data] [░░░░░░░░░░░░░░░░░░░░]   2.7% frames 216000/8069056 ep 11/56  1765 frames/s  ETA 4450s
[2026-08-04 10:49:42] [data] [░░░░░░░░░░░░░░░░░░░░]   2.7% frames 218000/8069056 ep 11/56  1766 frames/s  ETA 4446s
[2026-08-04 10:49:43] [data] [░░░░░░░░░░░░░░░░░░░░]   2.7% frames 220000/8069056 ep 11/56  1768 frames/s  ETA 4441s
[2026-08-04 10:49:44] [data] [░░░░░░░░░░░░░░░░░░░░]   2.8% frames 222000/8069056 ep 11/56  1768 frames/s  ETA 4437s
[2026-08-04 10:49:45] [data] [░░░░░░░░░░░░░░░░░░░░]   2.8% frames 224000/8069056 ep 11/56  1769 frames/s  ETA 4435s
[2026-08-04 10:49:46] [data] [░░░░░░░░░░░░░░░░░░░░]   2.8% frames 226000/8069056 ep 11/56  1769 frames/s  ETA 4433s
[2026-08-04 10:49:48] [data] [░░░░░░░░░░░░░░░░░░░░]   2.8% frames 228000/8069056 ep 11/56  1770 frames/s  ETA 4431s
[2026-08-04 10:49:49] [data] [░░░░░░░░░░░░░░░░░░░░]   2.9% frames 230000/8069056 ep 11/56  1769 frames/s  ETA 4431s
[2026-08-04 10:49:50] [data] [░░░░░░░░░░░░░░░░░░░░]   2.9% frames 232000/8069056 ep 11/56  1769 frames/s  ETA 4431s
[2026-08-04 10:49:51] [data] [░░░░░░░░░░░░░░░░░░░░]   2.9% frames 234000/8069056 ep 11/56  1768 frames/s  ETA 4433s
[2026-08-04 10:49:52] [data] [░░░░░░░░░░░░░░░░░░░░]   2.9% frames 236000/8069056 ep 11/56  1767 frames/s  ETA 4433s
[2026-08-04 10:49:53] [data] [░░░░░░░░░░░░░░░░░░░░]   2.9% frames 238000/8069056 ep 11/56  1767 frames/s  ETA 4432s
[2026-08-04 10:49:55] [data] [░░░░░░░░░░░░░░░░░░░░]   3.0% frames 240000/8069056 ep 11/56  1767 frames/s  ETA 4431s
[2026-08-04 10:49:56] [data] [░░░░░░░░░░░░░░░░░░░░]   3.0% frames 242000/8069056 ep 11/56  1767 frames/s  ETA 4430s
[2026-08-04 10:49:57] [data] [░░░░░░░░░░░░░░░░░░░░]   3.0% frames 244000/8069056 ep 11/56  1768 frames/s  ETA 4426s
[2026-08-04 10:49:58] [data] [░░░░░░░░░░░░░░░░░░░░]   3.0% frames 246000/8069056 ep 11/56  1769 frames/s  ETA 4423s
[2026-08-04 10:49:59] [data] [░░░░░░░░░░░░░░░░░░░░]   3.1% frames 248000/8069056 ep 12/56  1768 frames/s  ETA 4424s
[2026-08-04 10:50:00] [data] [░░░░░░░░░░░░░░░░░░░░]   3.1% frames 250000/8069056 ep 12/56  1769 frames/s  ETA 4420s
